notion,dimension,miner,faculties,observed_partitions,n_boot,seed,mean,ci_lo,ci_hi
course,fitness,alpha,7,7,10000,20260828,0.10467142857142855,0.09324285714285716,0.11634285714285715
course,fitness,heuristic,7,7,10000,20260828,0.9770000000000001,0.9718571428571429,0.9821000000000001
course,fitness,inductive,7,7,10000,20260828,0.9955428571428573,0.9902714285714287,0.9995999999999999
course,precision,alpha,7,7,10000,20260828,0.1470142857142857,0.1226142857142857,0.17315750000000008
course,precision,heuristic,7,7,10000,20260828,0.1407857142857143,0.12250000000000001,0.1616
course,precision,inductive,7,7,10000,20260828,0.05481428571428571,0.05014285714285714,0.05935714285714285
course,generalization,alpha,7,7,10000,20260828,0.7300142857142857,0.7094571428571428,0.7478857142857144
course,generalization,heuristic,7,7,10000,20260828,0.6664000000000001,0.6506428571428572,0.6848857142857143
course,generalization,inductive,7,7,10000,20260828,0.793557142857143,0.7793142857142857,0.8111164285714287
course,simplicity,alpha,7,7,10000,20260828,1.0,1.0,1.0
course,simplicity,heuristic,7,7,10000,20260828,0.4700428571428571,0.4673285714285715,0.47257142857142853
course,simplicity,inductive,7,7,10000,20260828,0.6138428571428571,0.6041142857142858,0.6225857142857143
user,fitness,alpha,7,7,10000,20260828,0.10498571428571431,0.09102857142857143,0.11952857142857143
user,fitness,heuristic,7,7,10000,20260828,0.9819428571428572,0.9782571428571428,0.9857857142857143
user,fitness,inductive,7,7,10000,20260828,0.9961857142857143,0.9918142857142858,0.9999714285714286
user,generalization,alpha,7,7,10000,20260828,0.7340428571428573,0.6983285714285713,0.7646000000000001
user,generalization,heuristic,7,7,10000,20260828,0.6508857142857144,0.6349857142857143,0.6675285714285714
user,generalization,inductive,7,7,10000,20260828,0.7609285714285715,0.7428989285714285,0.7816714285714286
user,simplicity,alpha,7,7,10000,20260828,1.0,1.0,1.0
user,simplicity,heuristic,7,7,10000,20260828,0.47118571428571426,0.4654,0.4778285714285714
user,simplicity,inductive,7,7,10000,20260828,0.6103142857142857,0.6003714285714287,0.6200285714285714
