notion,dimension,comparison,faculties,observed_paired_partitions,n_boot,seed,mean_difference,ci_lo,ci_hi
course,fitness,alpha - heuristic,7,7,10000,20260828,-0.8723285714285715,-0.8842000000000001,-0.8610285714285715
course,fitness,alpha - inductive,7,7,10000,20260828,-0.8908714285714286,-0.9008999999999999,-0.8806421428571429
course,fitness,heuristic - inductive,7,7,10000,20260828,-0.018542857142857146,-0.02608607142857146,-0.011357142857142875
course,precision,alpha - heuristic,7,7,10000,20260828,0.0062285714285714245,-0.02940178571428572,0.0440735714285714
course,precision,alpha - inductive,7,7,10000,20260828,0.09220000000000002,0.07128571428571427,0.11524642857142851
course,precision,heuristic - inductive,7,7,10000,20260828,0.08597142857142856,0.0658,0.10715714285714287
course,generalization,alpha - heuristic,7,7,10000,20260828,0.06361428571428572,0.043314285714285715,0.08566035714285712
course,generalization,alpha - inductive,7,7,10000,20260828,-0.06354285714285714,-0.08394285714285712,-0.04304285714285716
course,generalization,heuristic - inductive,7,7,10000,20260828,-0.12715714285714286,-0.14248571428571427,-0.11157142857142857
course,simplicity,alpha - heuristic,7,7,10000,20260828,0.5299571428571428,0.5274285714285714,0.5326714285714285
course,simplicity,alpha - inductive,7,7,10000,20260828,0.38615714285714287,0.37741428571428565,0.3958857142857143
course,simplicity,heuristic - inductive,7,7,10000,20260828,-0.14379999999999996,-0.1529428571428571,-0.13445714285714283
user,fitness,alpha - heuristic,7,7,10000,20260828,-0.8769571428571429,-0.8893571428571428,-0.8643428571428571
user,fitness,alpha - inductive,7,7,10000,20260828,-0.8911999999999999,-0.9071142857142857,-0.8738142857142858
user,fitness,heuristic - inductive,7,7,10000,20260828,-0.014242857142857144,-0.019300000000000032,-0.009471071428571422
user,generalization,alpha - heuristic,7,7,10000,20260828,0.08315714285714289,0.05284285714285718,0.11611428571428577
user,generalization,alpha - inductive,7,7,10000,20260828,-0.02688571428571429,-0.06117142857142858,0.008571428571428594
user,generalization,heuristic - inductive,7,7,10000,20260828,-0.11004285714285718,-0.12594285714285716,-0.08917142857142864
user,simplicity,alpha - heuristic,7,7,10000,20260828,0.5288142857142858,0.5221714285714286,0.5346
user,simplicity,alpha - inductive,7,7,10000,20260828,0.3896857142857143,0.3799714285714287,0.39962857142857144
user,simplicity,heuristic - inductive,7,7,10000,20260828,-0.13912857142857143,-0.15138571428571426,-0.12727142857142856
